sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
SOB,SOBME,Sobhaygya Mercantile Ltd,Financials,Diversified Financials,713.286,891.6,45.9591494845361,24.417872876022646,8.924999999999997,1.312425430373282,4.999116763822651
DAMS,DHAMPURSUG,Dhampur Sugar Mills Ltd,Consumer Staples,Sugar,710.458311432,114.28,13.607705639379457,4.631913270285127,0.6159954146026791,-8.597936495241141,3.4395365677045593
KAPS,KAPSTON,Kapston Services Ltd,Industrials,Business Support Services,705.6208831600001,391.4,39.55274008744423,22.238843181251404,7.939922169010915,29.431216931216934,12.535940195514653
PRAV,PRAVEG,Praveg Ltd,Communication Services,Advertising,703.1846955,270.2,43.81213056074759,4.186883706370331,1.4685170317851475,-15.13437057991513,0.4460966542750887
RNF,RNFI,RNFI Services Ltd,Financials,Diversified Financials,701.698228,278.0,38.59726226622653,24.847946422469818,6.138555052051439,-13.422609778885088,-0.7142857142857143
KSE,KSE,KSE Ltd,Consumer Staples,Agro Products,698.88,220.0,7.654764512595841,35.00833988381678,2.3551137320977253,0.45662100456621,0.73260073260073
STCI,STCINDIA,State Trading Corporation of India Ltd,Industrials,Commodities Trading,697.08,117.04,28.164848484848477,,-0.15145221003597936,-0.813559322033893,0.7402306765364085
AXT,AXTEL,Axtel Industries Ltd,Industrials,Industrial Machinery,695.787236,416.95,38.590528896284034,15.306902113931546,5.676188905204764,-2.2620721987810675,-3.192477362433248
FRE,FREDUN,Fredun Pharmaceuticals Ltd,Health Care,Pharmaceuticals,695.45359598,1507.0,35.23067862107402,14.349322928620637,5.725311566477319,-10.404280618311534,2.315160567587746
MENO,MENONBE,Menon Bearings Ltd,Consumer Discretionary,Auto Parts,694.39164,124.71,27.84248757016842,16.437633877080234,4.379638221381269,18.850662346326107,0.645629892664028
MUAU,MUNJALAU,Munjal Auto Industries Ltd,Consumer Discretionary,Auto Parts,693.4,71.54,19.049450549450537,8.676582761250959,1.6194502183712078,-10.012578616352192,3.1727718488606906
UNIF,UNIFIED,Unified Data-Tech Solutions Limited,Information Technology,IT Services & Consulting,691.09944,361.0,20.27873943661972,42.14952693092573,7.059959546429667,1.1204481792717087,4.941860465116279
BARBE,UFBL,United Foodbrands Ltd,Consumer Discretionary,Restaurants & Cafes,690.851890225,183.0,-24.868678553815737,-7.172826914883992,1.8628876640825136,4.190389432931004,3.536067892503536
ADIY,BSLNIFTY,Aditya Birla Sun Life Nifty 50 ETF,ETF,Equity,688.1354929,29.46,,,,-2.932454695222407,0.5460750853242325
FLY,FLYSBS,FlySBS Aviation Ltd,Industrials,Airlines,687.737583495,393.1,24.20758829619851,26.20606955077946,4.573331450292592,-25.407969639468686,-1.0944772927412167
MAL,MALLCOM,Mallcom (India) Ltd,Industrials,Business Support Services,687.4608,1069.6,11.966245430809424,21.430569803226664,2.3019716046075542,-8.07837744929529,-2.9136788599437358
RITC,RITCO,Ritco Logistics Ltd,Industrials,Logistics,686.42392377,243.85,16.26211617555075,16.763304209690297,2.140659651250546,-11.728506787330318,1.1406055578598093
ADIS,ADSL,Allied Digital Services Ltd,Information Technology,IT Services & Consulting,685.685915024,123.82,24.65609187428967,4.39572598236022,1.060809299520406,-20.60784816619647,2.0522541828072156
BHAE,BHAGERIA,Bhageria Industries Ltd,Materials,Specialty Chemicals,685.56277944,159.3,16.965176427616907,7.494992210104616,1.2325832064724918,-12.869879122682272,1.4132925897631772
MADH,MADHUVEER,Madhuveer Com 18 Network Ltd,Communication Services,Movies & TV Serials,684.666409,255.5,-409.9798856287426,-4.518398268398268,16.117382509416196,17.201834862385322,-4.9125418682545545
OSGL,OSWALGREEN,Oswal Greentech Ltd,Real Estate,Real Estate,684.6532178939999,27.46,80.07639975368423,0.3427238327347356,0.27386128715759994,-17.833632555356075,3.000750187546889
PARU,PARIN,Parin Enterprises Ltd,Industrials,Building Products - Others,683.42346,605.4,108.65237837837854,10.262685593082054,10.582586868999691,6.219843845951387,-1.5129331381161653
ABML,BIRLAMONEY,Aditya Birla Money Ltd,Financials,Investment Banking & Brokerage,683.309258492,122.66,9.210260931284548,37.20288837629121,2.893784180290517,-17.116021352794117,1.4389679126695294
SARL,SARLAPOLY,Sarla Performance Fibers Ltd,Consumer Discretionary,Textiles,682.470019,82.89,10.944034942270687,13.5813224148445,1.3929665244723846,-3.8845083487940566,1.4193074758350623
SHTR,TIRUPATI,Shree Tirupati Balajee FIBC Ltd,Materials,Packaging,681.751692,680.0,47.50882871080136,16.921172100701625,7.402298501628667,-2.857142857142857,1.0401188707280833
OTEC,ONWARDTEC,Onward Technologies Ltd,Information Technology,Outsourced services,681.411214125,312.15,25.162895647156603,12.553309846096777,3.037810236391601,13.5090909090909,2.7654320987654244
